,0,1,2,3,4
0,0.1,0.1,0.2,1.0,0.8
1,0.4,0.9,0.0,0.3,0.9
2,0.9,0.4,0.0,1.0,1.0
3,0.3,0.0,0.3,0.8,1.0
4,0.2,0.0,0.2,1.0,0.8
5,0.4,0.9,0.2,0.7,0.9
6,0.2,0.7,0.1,0.9,1.0
7,0.4,0.4,0.8,0.7,0.0
8,0.6,1.0,0.2,0.0,0.7
9,0.1,0.0,0.6,0.9,0.8
10,0.1,0.6,0.1,0.2,0.6
11,0.1,0.0,0.5,0.9,0.9
12,0.4,0.4,1.0,0.7,0.0
13,0.5,0.4,1.0,0.7,0.0
14,0.0,0.1,0.6,0.4,0.8
15,0.4,0.9,0.2,0.8,0.8
16,0.4,0.4,0.7,1.0,0.0
17,0.4,0.8,1.0,0.0,0.2
18,0.5,0.1,0.6,1.0,1.0
19,0.3,0.9,0.1,0.9,1.0
20,0.3,0.3,0.1,0.5,0.8
21,0.8,0.4,0.1,0.0,0.8
22,0.0,0.5,0.5,1.0,0.8
23,1.0,0.5,0.3,1.0,0.9
24,0.4,0.8,1.0,0.0,0.1
25,0.7,0.4,1.0,0.0,0.7
26,0.7,0.9,0.9,0.0,0.4
27,0.5,0.9,0.0,1.0,0.9
28,0.3,0.5,0.2,0.4,0.8
29,0.0,0.6,0.2,1.0,0.9
30,0.4,0.0,0.4,0.8,1.0
31,0.1,0.6,0.1,0.2,0.7
32,0.4,0.6,0.0,0.9,0.0
33,0.4,0.9,0.2,0.7,1.0
34,0.0,0.2,0.0,1.0,0.9
35,0.1,0.0,0.5,0.9,0.8
36,0.5,0.0,0.1,1.0,0.9
37,0.3,0.9,0.1,1.0,1.0
38,0.4,0.0,0.1,1.0,0.8
39,0.2,0.3,1.0,1.0,0.4
40,0.4,1.0,0.7,0.0,0.6
41,0.3,0.6,0.9,0.9,0.0
42,0.3,0.3,1.0,1.0,0.5
43,0.4,1.0,0.7,0.0,0.7
44,0.7,0.4,1.0,0.0,0.8
45,0.1,0.6,0.2,0.2,0.7
46,0.7,0.9,0.8,0.0,0.5
47,0.4,0.9,0.0,0.3,1.0
48,0.3,0.7,0.2,0.8,0.9
49,0.3,1.0,0.4,0.0,0.7
50,0.7,0.9,0.7,0.0,0.4
51,0.2,0.0,0.9,0.3,0.6
52,0.0,0.1,0.5,0.2,0.9
53,0.4,0.4,0.6,0.9,0.0
54,0.4,0.4,0.8,1.0,0.5
55,0.5,0.1,0.1,1.0,1.0
56,0.2,0.0,0.9,0.4,0.5
57,0.3,1.0,0.4,0.1,0.7
58,0.8,0.4,0.1,0.0,0.7
59,0.6,1.0,0.2,0.0,0.8
60,0.3,0.0,0.4,0.8,0.9
61,0.2,0.0,0.2,1.0,0.9
62,0.3,0.9,0.1,1.0,0.9
63,0.3,0.6,0.9,0.9,0.9
64,0.2,0.0,1.0,0.3,0.5
65,0.4,0.5,0.7,0.0,0.7
66,0.0,0.6,0.1,1.0,1.0
67,0.5,0.9,0.0,0.9,1.0
68,0.1,0.1,0.2,1.0,0.9
69,0.3,0.7,0.2,0.9,1.0
70,0.3,0.3,0.1,0.5,0.9
71,0.5,0.0,0.1,1.0,0.8
72,0.2,0.0,0.3,1.0,1.0
73,0.0,0.2,0.0,1.0,1.0
74,0.5,0.9,0.0,1.0,1.0
75,0.3,0.4,0.2,0.5,0.9
76,0.8,0.4,1.0,0.0,0.8
77,0.0,0.2,0.1,0.9,1.0
78,0.4,0.9,0.0,0.2,1.0
79,0.2,1.0,0.4,0.1,0.7
80,0.3,0.3,0.1,0.5,0.7
